Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,155.81689453125,82278300
2021-09-08,156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,154.24566650390625,74420200
2021-09-09,155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,153.2114715576172,57305700
2021-09-10,155.0,155.47999572753906,148.6999969482422,148.97000122070312,148.13990783691406,140893200
2021-09-13,150.6300048828125,151.4199981689453,148.75,149.5500030517578,148.71665954589844,102404300
2021-09-14,150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,147.29461669921875,109296300
2021-09-15,148.55999755859375,149.44000244140625,146.3699951171875,149.02999877929688,148.19955444335938,83281300
2021-09-16,148.44000244140625,148.97000122070312,147.22000122070312,148.7899932861328,147.9608917236328,68034100
2021-09-17,148.82000732421875,148.82000732421875,145.75999450683594,146.05999755859375,145.24612426757812,129868800
2021-09-20,143.8000030517578,144.83999633789062,141.27000427246094,142.94000244140625,142.14349365234375,123478900
2021-09-21,143.92999267578125,144.60000610351562,142.77999877929688,143.42999267578125,142.63075256347656,75834000
2021-09-22,144.4499969482422,146.42999267578125,143.6999969482422,145.85000610351562,145.03729248046875,76404300
2021-09-23,146.64999389648438,147.0800018310547,145.63999938964844,146.8300018310547,146.01182556152344,64838200
2021-09-24,145.66000366210938,147.47000122070312,145.55999755859375,146.9199981689453,146.101318359375,53477900
2021-09-27,145.47000122070312,145.9600067138672,143.82000732421875,145.3699951171875,144.5599365234375,74150700
2021-09-28,143.25,144.75,141.69000244140625,141.91000366210938,141.11923217773438,108972300
2021-09-29,142.47000122070312,144.4499969482422,142.02999877929688,142.8300018310547,142.0341033935547,74602000
2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,140.71151733398438,89056700
2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,141.8551025390625,94639600
2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,138.3646697998047,98322000
2021-10-05,139.49000549316406,142.24000549316406,139.36000061035156,141.11000061035156,140.32366943359375,80861100
2021-10-06,139.47000122070312,142.14999389648438,138.3699951171875,142.0,141.208740234375,83221100
2021-10-07,143.05999755859375,144.22000122070312,142.72000122070312,143.2899932861328,142.4915313720703,61732700
2021-10-08,144.02999877929688,144.17999267578125,142.55999755859375,142.89999389648438,142.10369873046875,58773200
2021-10-11,142.27000427246094,144.80999755859375,141.80999755859375,142.80999755859375,142.0142059326172,64452200
2021-10-12,143.22999572753906,143.25,141.0399932861328,141.50999450683594,140.72145080566406,73035900
2021-10-13,141.24000549316406,141.39999389648438,139.1999969482422,140.91000366210938,140.1248016357422,78762700
2021-10-14,142.11000061035156,143.8800048828125,141.50999450683594,143.75999450683594,142.9589080810547,69907100
2021-10-15,143.77000427246094,144.89999389648438,143.50999450683594,144.83999633789062,144.03289794921875,67940300
2021-10-18,143.4499969482422,146.83999633789062,143.16000366210938,146.5500030517578,145.73336791992188,85589200
2021-10-19,147.00999450683594,149.1699981689453,146.5500030517578,148.75999450683594,147.93106079101562,76378900
2021-10-20,148.6999969482422,149.75,148.1199951171875,149.25999450683594,148.42825317382812,58418800
